Name	Set	ImageFile	Rarity	Deck	Type	Alignment	Attribute	Power	Resistance	Control	ERRATA	Text
Car Bomb	Limited	Car_Bomb,Master	C	Master	Assassination		Assassination!					
Hit and Run	Limited	Hit_and_Run,Master	C	Master	Assassination		Assassination!					
Poison	Limited	Poison,Master	C	Master	Assassination		Assassination!					
Sniper	Limited	Sniper,Master	U	Master	Assassination		Assassination!					
Withering Curse	Limited	Withering_Curse,Master	R	Master	Assassination		Assassination!					
Atomic Monster	Limited	Atomic_Monster,Master	C	Master	Disaster		Disaster!					
Earthquake	Limited	Earthquake,Master	C	Master	Disaster		Disaster!					
Epidemic	Limited	Epidemic,Master	C	Master	Disaster		Disaster!					
Giant Kudzu	Limited	Giant_Kudzu,Master	U	Master	Disaster		Disaster!					
Hurricane	Limited	Hurricane,Master	C	Master	Disaster		Disaster!					
Meteor Strike	Limited	Meteor_Strike,Master	U	Master	Disaster		Disaster!					
Nuclear Accident	Limited	Nuclear_Accident,Master	C	Master	Disaster		Disaster!					
Plague of Demons	Limited	Plague_of_Demons,Master	R	Master	Disaster		Disaster! May Require Magic Action					
Rain of Frogs	Limited	Rain_of_Frogs,Master	U	Master	Disaster		Disaster!					
The Oregon Crud	Limited	The_Oregon_Crud,Master	R	Master	Disaster		Disaster!				Has a Power of 24, and destroys on a roll that succeeds by 10 or more.	
Tidal Wave	Limited	Tidal_Wave,Master	C	Master	Disaster		Disaster!					
Tornado	Limited	Tornado,Master	C	Master	Disaster		Disaster!					
Volcano	Limited	Volcano,Master	U	Master	Disaster		Disaster!				Has a Power of 18, and destroys on a roll that succeeds by 2 or more.	
Criminal Overlords	Limited	Criminal_Overlords,Master	U	Master	Goal							
Fratricide	Limited	Fratricide,Master	C	Master	Goal							
Hail Eris!	Limited	Hail_Eris,Master	C	Master	Goal							
Kill For Peace!	Limited	Kill_For_Peace,Master	R	Master	Goal							
Let Them Eat Cake!	Limited	Let_Them_Eat_Cake,Master	U	Master	Goal							
Power For Its Own Sake	Limited	Power_For_Its_Own_Sake,Master	R	Master	Goal							
Power To The People	Limited	Power_To_The_People,Master	U	Master	Goal							
The Corporate Masters	Limited	The_Corporate_Masters,Master	C	Master	Goal							
The Hand of Madness	Limited	The_Hand_of_Madness,Master	C	Master	Goal							
Up Against The Wall!	Limited	Up_Against_The_Wall,Master	R	Master	Goal							
Adepts of Hermes	Limited	Adepts_of_Hermes,Master	I	Master	Illuminati			7/7				If you fail an Attack to Control against a Group from our own hand, you do no tlose the group . . . Just return the card to your hand. The Adepts of Hermes have +6 on any attempt ot control or destroy a Magic group. SPECIAL GOAL: Each Magic resource you control counts as one group toward the Basic Goal.
Bavarian Illuminati	Limited	Bavarian_Illuminati,Master	I	Master	Illuminati			10/10				Each turn, you may declare one of your attackes privileged. SPECIAL GOAL: Control a total Power of 50 or more, counting Bavaria's own Power.
Bermuda Triangle	Limited	Bermuda_Triangle,Master	I	Master	Illuminati			8/8				You may reorganize your groups freely at the end of your turn. SPECIAL GOAL: Control a total Power of at least 35, counting Bermuda's own Power, and at leas one group of each alignment. A group with more than one alignment counts for all its alignments.
Discordian Society	Limited	Discordian_Society,Master	I	Master	Illuminati			7/7				You have +4 on any attempt to control Weird groups. Your power structure is immune to attacks from Government or Straight groups, and to all special abilities of these groups. SPECIAL GOAL: Any Weird group with a Power of 3 or more counts double toward your total number of groups controlled.
Gnomes of Zurich	Limited	Gnomes_of_Zurich,Master	I	Master	Illuminati			9/9			Have a +4 bonus to control Bank Groups only (not Bank and Corporate Groups).	You may hold 6 Plot cards in your hand, rather than the usual 5. You have +4 on any attempt to control any Bank. SPECIAL GOAL: Any Corporate group or Bank with a Power 4 or more counts double toward your total number of groups controlled.
Servants of Cthulhu	Limited	Servants_of_Cthulhu,Master	I	Master	Illuminati			9/9				You have +4 on any attempt to destroy, even Disasters and Assassinations. Draw a Plot card henever you destroy a group! SPECIAL GOAL: For every group you destroy, reduce by 1 the number of groups you need to control in order to win. You may also count Illuminati which you destroy by removing their last group. If you destroy 8 groups, you win, regardless of how many you control!
Shangri-La	Limited	Shangri-La,Master	I	Master	Illuminati			7/7			Explicitly gets its +5 to defend against Instant Attacks.	Any group in your Power Structure has an extra +5 to defend against any attack, even Instants. You cannot destroy any groups except Violent ones and rival Illuminati. SPECIAL GOAL: Have Peaceful groups with a total Power of 30 in play, regardless of who controls them! If this happens, all Shangri-La players share the victory.
The Network	Limited	The_Network,Master	I	Master	Illuminati			8/8				You start your turn by drawing two Plot cards, rather than one. SPECIAL GOAL: Any Computer group with a power of 3 or more counts double toward your toal number of groups controlled.
UFOs	Limited	UFOs,Master	I	Master	Illuminati			6/6				The UFOs have two actions per turn - they get two action tokens! These may not be used in the same attack. SPECIAL GOAL: The UFOs can have up to 3 different Goal cards in play, and win with any of them.
A Thousand Points of Light	Limited	A_Thousand_Points_of_Light,Master	U	Master	NWOB		Blue					
Chicken In Every Pot	Limited	Chicken_In_Every_Pot,Master	C	Master	NWOB		Blue					
Energy Crisis	Limited	Energy_Crisis,Master	R	Master	NWOB		Blue					
Fear and Loathing	Limited	Fear_and_Loathing,Master	U	Master	NWOB		Blue					
World Hunger	Limited	World_Hunger,Master	C	Master	NWOB		Blue					
Gun Control	Limited	Gun_Control,Master	U	Master	NWOR		Red					
Peace In Our Time	Limited	Peace_In_Our_Time,Master	C	Master	NWOR		Red					
Political Correctness	Limited	Political_Correctness,Master	U	Master	NWOR		Red				Affects Conservative Groups with a Power of 0 or 1.	
Solidarity	Limited	Solidarity,Master	C	Master	NWOR		Red					
Tax Reform	Limited	Tax_Reform,Master	R	Master	NWOR		Red					
Bigger Business	Limited	Bigger_Business,Master	U	Master	NWOY		Yellow					
Don't Forget To Smash The State	Limited	Dont_Forget_To_Smash_The_State,Master	C	Master	NWOY		Yellow					
Law and Order	Limited	Law_and_Order,Master	U	Master	NWOY		Yellow					
Military-Industrial Complex	Limited	Military-Industrial_Complex,Master	C	Master	NWOY		Yellow					
World War 3	Limited	World_War_3,Master	R	Master	NWOY		Yellow					
18 1/2-Minute Gap	Limited	18_1-2-Minute_Gap,Master	R	Master	Plot		Requires Discards and All Illuminati Actions					
Agent In Place	Limited	Agent_In_Place,Master	C	Master	Plot		Requires Action					
Air Magic	Limited	Air_Magic,Master	U	Master	Plot		Requires Magic Action or Discard					
Albino Alligators	Limited	Albino_Alligators,Master	C	Master	Plot							
Alternate Goals	Limited	Alternate_Goals,Master	C	Master	Plot							
An Offer You Can't Refuse	Limited	An_Offer_You_Cant_Refuse,Master	R	Master	Plot		Draw no Group Cards This Turn					
And STAY Dead!	Limited	And_STAY_Dead,Master	C	Master	Plot		Requires Magic Action					
